city,year,temp_c_mean,months
北京,2020,13.302,12
北京,2021,13.083,12
北京,2022,13.080,12
北京,2023,13.714,12
北京,2024,13.838,12
上海,2020,17.873,12
上海,2021,18.119,12
上海,2022,17.939,12
上海,2023,17.952,12
上海,2024,18.159,12
广州,2020,23.611,12
广州,2021,23.802,12
广州,2022,22.994,12
广州,2023,23.580,12
广州,2024,23.610,12
西安,2020,14.600,12
西安,2021,14.990,12
西安,2022,15.579,12
西安,2023,14.962,12
西安,2024,15.940,12
武汉,2020,18.056,12
武汉,2021,18.649,12
武汉,2022,18.697,12
武汉,2023,18.585,12
武汉,2024,18.964,12
哈尔滨,2020,5.443,12
哈尔滨,2021,5.523,12
哈尔滨,2022,5.128,12
哈尔滨,2023,5.239,12
哈尔滨,2024,5.602,12
乌鲁木齐,2020,7.766,12
乌鲁木齐,2021,7.689,12
乌鲁木齐,2022,8.160,12
乌鲁木齐,2023,8.268,12
乌鲁木齐,2024,7.868,12
