city,year,month,lat_city,lon_city,lat_pixel,lon_pixel,temp_c
北京,2020,1,39.9042,116.4074,40.0,116.5,-3.134
北京,2020,2,39.9042,116.4074,40.0,116.5,0.557
北京,2020,3,39.9042,116.4074,40.0,116.5,7.956
北京,2020,4,39.9042,116.4074,40.0,116.5,15.505
北京,2020,5,39.9042,116.4074,40.0,116.5,21.946
北京,2020,6,39.9042,116.4074,40.0,116.5,27.646
北京,2020,7,39.9042,116.4074,40.0,116.5,26.997
北京,2020,8,39.9042,116.4074,40.0,116.5,26.49
北京,2020,9,39.9042,116.4074,40.0,116.5,21.229
北京,2020,10,39.9042,116.4074,40.0,116.5,12.884
北京,2020,11,39.9042,116.4074,40.0,116.5,5.174
北京,2020,12,39.9042,116.4074,40.0,116.5,-3.624
北京,2021,1,39.9042,116.4074,40.0,116.5,-4.397
北京,2021,2,39.9042,116.4074,40.0,116.5,1.872
北京,2021,3,39.9042,116.4074,40.0,116.5,8.507
北京,2021,4,39.9042,116.4074,40.0,116.5,15.231
北京,2021,5,39.9042,116.4074,40.0,116.5,20.983
北京,2021,6,39.9042,116.4074,40.0,116.5,25.825
北京,2021,7,39.9042,116.4074,40.0,116.5,26.551
北京,2021,8,39.9042,116.4074,40.0,116.5,24.935
北京,2021,9,39.9042,116.4074,40.0,116.5,21.527
北京,2021,10,39.9042,116.4074,40.0,116.5,12.116
北京,2021,11,39.9042,116.4074,40.0,116.5,4.601
北京,2021,12,39.9042,116.4074,40.0,116.5,-0.755
北京,2022,1,39.9042,116.4074,40.0,116.5,-3.055
北京,2022,2,39.9042,116.4074,40.0,116.5,-1.821
北京,2022,3,39.9042,116.4074,40.0,116.5,6.503
北京,2022,4,39.9042,116.4074,40.0,116.5,15.999
北京,2022,5,39.9042,116.4074,40.0,116.5,21.655
北京,2022,6,39.9042,116.4074,40.0,116.5,26.077
北京,2022,7,39.9042,116.4074,40.0,116.5,27.892
北京,2022,8,39.9042,116.4074,40.0,116.5,25.671
北京,2022,9,39.9042,116.4074,40.0,116.5,22.901
北京,2022,10,39.9042,116.4074,40.0,116.5,13.091
北京,2022,11,39.9042,116.4074,40.0,116.5,5.913
北京,2022,12,39.9042,116.4074,40.0,116.5,-3.868
北京,2023,1,39.9042,116.4074,40.0,116.5,-3.145
北京,2023,2,39.9042,116.4074,40.0,116.5,0.406
北京,2023,3,39.9042,116.4074,40.0,116.5,9.403
北京,2023,4,39.9042,116.4074,40.0,116.5,15.177
北京,2023,5,39.9042,116.4074,40.0,116.5,22.448
北京,2023,6,39.9042,116.4074,40.0,116.5,28.962
北京,2023,7,39.9042,116.4074,40.0,116.5,28.965
北京,2023,8,39.9042,116.4074,40.0,116.5,26.611
北京,2023,9,39.9042,116.4074,40.0,116.5,21.913
北京,2023,10,39.9042,116.4074,40.0,116.5,15.055
北京,2023,11,39.9042,116.4074,40.0,116.5,3.32
北京,2023,12,39.9042,116.4074,40.0,116.5,-4.542
北京,2024,1,39.9042,116.4074,40.0,116.5,-3.632
北京,2024,2,39.9042,116.4074,40.0,116.5,-0.533
北京,2024,3,39.9042,116.4074,40.0,116.5,7.829
北京,2024,4,39.9042,116.4074,40.0,116.5,16.928
北京,2024,5,39.9042,116.4074,40.0,116.5,22.407
北京,2024,6,39.9042,116.4074,40.0,116.5,27.855
北京,2024,7,39.9042,116.4074,40.0,116.5,28.723
北京,2024,8,39.9042,116.4074,40.0,116.5,26.706
北京,2024,9,39.9042,116.4074,40.0,116.5,20.988
北京,2024,10,39.9042,116.4074,40.0,116.5,13.128
北京,2024,11,39.9042,116.4074,40.0,116.5,6.859
北京,2024,12,39.9042,116.4074,40.0,116.5,-1.204
